stargazers_count,has_projects,has_wiki,topic_count,forks_count_log,open_issues_count_log,days_since_last_push_log
502118,False,False,6,10.770882114622454,6.184148890937483,4.477336814478207
467555,False,False,5,10.464502361385257,4.343805421853684,2.639057329615259
445054,True,False,15,10.705982289931356,5.225746673713202,0.6931471805599453
435595,False,False,13,10.773755288097965,7.202661196523238,1.3862943611198906
388482,False,False,5,11.102095994362914,4.430816798843313,1.9459101490553132
372813,False,False,7,11.255423361019579,8.858226439365012,0.6931471805599453
354985,False,True,18,10.693806814848333,2.0794415416798357,0.6931471805599453
349089,True,True,13,10.937881268877586,6.300785794663244,4.110873864173311
346975,False,False,12,11.325655685892224,4.727387818712341,5.575949103146316
298284,False,False,6,10.237456658939223,2.833213344056216,0.6931471805599453
293344,False,False,8,9.517604459155686,0.0,1.0986122886681096
276198,False,False,0,9.946020083254831,9.722864552377755,5.602118820879701
265972,True,True,8,10.451406628439226,5.700443573390686,6.466144724237619
245093,False,False,6,10.840756690795475,7.174724309836376,1.6094379124341003
233560,True,False,0,11.040679323171712,1.3862943611198906,0.6931471805599453
221156,True,True,14,10.832753737932673,6.88653164253051,2.70805020110221
220775,False,False,19,9.488199355479201,4.955827057601261,6.302618975744905
209771,True,True,4,10.42972382000155,6.437751649736401,6.375024819828097
203905,True,True,4,10.141874333263031,3.1354942159291497,3.367295829986474
195968,False,False,8,10.344062371091052,6.008813185442595,4.51085950651685
195804,True,True,0,9.765718622791232,5.648974238161206,1.6094379124341003
195142,True,False,8,11.229315091888502,8.583355393669907,0.6931471805599453
191853,True,False,0,11.607571788106831,7.25063551189868,1.0986122886681096
188471,False,False,20,10.964034460397444,7.302496423727326,0.6931471805599453
187101,True,True,15,10.180323518047112,6.318968113746434,0.6931471805599453
186038,True,True,8,10.267748648720236,0.0,0.6931471805599453
185037,True,True,5,10.594933286456316,9.777187096419954,0.6931471805599453
184463,True,False,13,10.421239136372852,1.0986122886681096,4.543294782270004
184389,False,True,11,10.741405847723883,6.042632833682381,0.6931471805599453
184388,True,True,8,10.839659340003433,5.2832037287379885,6.456769655572163
182550,True,True,0,10.927681564500782,6.548219102762372,3.6109179126442243
176353,True,True,19,10.321671433052067,9.446360661104071,1.0986122886681096
175600,False,False,16,9.732877151670184,0.6931471805599453,2.4849066497880004
174246,True,False,7,11.275860458314973,6.0867747269123065,1.6094379124341003
173973,False,False,2,11.320795967185187,4.189654742026425,1.3862943611198906
172945,False,False,6,9.4894104675794,5.220355825078325,0.6931471805599453
171666,False,False,15,9.691036630760662,8.090708716083997,1.3862943611198906
163403,True,True,7,7.953669778649798,3.4965075614664802,3.2188758248682006
163120,True,True,16,10.320617692174796,7.81923445385907,4.3694478524670215
162885,True,True,7,9.522885774152654,7.827240901752812,1.0986122886681096
162444,True,True,18,9.959300617355341,3.828641396489095,0.6931471805599453
161907,True,False,0,9.854244785957677,8.722580021141187,0.6931471805599453
160995,True,False,6,9.602922854253334,5.541263545158426,6.541029999189903
160711,True,True,19,10.411629578672917,7.763021309018518,0.6931471805599453
157460,True,False,4,9.392661928770137,5.945420608606575,3.091042453358316
155741,True,True,13,10.739305484260235,4.127134385045092,0.6931471805599453
155481,True,True,16,10.1249496910678,9.389908140573516,0.6931471805599453
148420,True,True,6,9.108086137937427,6.831953565565855,0.6931471805599453
148126,False,True,14,10.191744459738752,5.075173815233827,3.4965075614664802
141883,False,True,8,9.479985756941812,7.935945103353701,1.0986122886681096
141745,False,False,20,10.01104066270085,6.6895992691789665,0.6931471805599453
140321,True,False,0,9.274628861858545,8.325063693631197,4.48863636973214
139600,False,True,10,9.716133353214099,3.828641396489095,3.784189633918261
139505,False,False,14,10.344480666703438,8.28349412616251,0.6931471805599453
137664,True,True,20,10.443745756985825,4.976733742420574,2.1972245773362196
137559,False,True,15,9.885221743729236,5.683579767338681,1.6094379124341003
136992,False,False,20,10.028268269433434,6.364750756851911,0.6931471805599453
136609,False,False,1,9.687878048875998,6.75110146893676,0.6931471805599453
134906,True,True,0,9.533075832485352,4.5217885770490405,3.4011973816621555
133939,True,True,4,9.853509182729887,9.217415285648144,0.6931471805599453
